"",,,,,,
1.17,0.39,3.21,1.50–6.85,0.003,1.50,6.85
0.13,0.38,1.14,0.55–2.38,0.73,0.55,2.38
"-0.72",0.16,0.52,0.36–0.67,0.000,0.36,0.67
0.57,0.31,1.76,0.97–3.20,0.064,0.97,3.20
"-0.48",0.31,0.62,0.33–1.14,0.12,0.33,1.14
0.65,0.30,1.92,1.07–3.42,0.03,1.07,3.42
"-2.08",1.08,,,0.05,,
0.22,0.22,,,0.16,,
"",,,,,,
"",0.54,2.94,1.03–8.40,0.044,1.03,8.40
"",,,,,,
"",0.52,0.56,0.20–1.54,0.26,0.20,1.54
"",,,,,,
"",0.23,0.45,0.29–0.71,0.001,0.29,0.71
"",,,,,,
"",0.40,2.13,0.97–4.66,0.06,0.97,4.66
"",,,,,,
"",0.39,0.29,0.14–0.64,0.002,0.14,0.64
"",,,,,,
"",0.41,3.21,1.42–7.22,0.005,1.42,7.22
"",,,,,,
"",1.43,,,0.03,,
"",,,,,,
"",0.44,,,0.09,,
"",,,,,,
"",0.86,6.25,1.16–33.61,0.033,1.16,33.61
"",,,,,,
"",0.78,0.60,0.13–2.76,0.52,0.13,2.76
"",,,,,,
"",0.35,0.45,0.23–0.89,0.022,0.23,0.89
"",,,,,,
"",0.64,1.16,0.33–4.07,0.82,0.33,4.07
"",,,,,,
"",0.56,0.28,0.10–0.84,0.023,0.10,0.84
"",,,,,,
"",0.60,1.61,0.50–5.24,0.43,0.50,5.24
"",,,,,,
"",2.27,,,0.25,,
"",,,,,,
"",0.83,,,0.12,,
"^{a} Coding: 1 = yes; 0 = no.
^{b} Province: 1 = west; 0 = east.
^{c} Results for age of onset and number of cigarettes a day are reported for
the effects of 5 units increase, i.e. 5 years for age onset smoking and 5
cigarette.
^{d} Educational level: 1 = medium or high, 0 = low; age is in years.
^{e} One-tailed p-value, since the cluster variance cannot be negative.
"
